source_file,episode_id,row_count,schema_valid,observation_dim_valid,action_valid,timestamp_valid,terminal_continuity_valid,next_observation_valid,policy_source,environment_source,action_distribution,duplicate_ratio,nan_inf_count,observation_jump_count,usable_for_bc,usable_for_replay,usable_for_dynamics,needs_relabel,rejected,reject_reason,demo_quality,teacher_confidence,verified,classification,source_line,source_step,row_sha256
logs/baseline_20260729_200743_034907.jsonl,legacy:baseline_20260729_200743_034907,9,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":2,""1"":6,""2"":1}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,1,1,2f938bcb7636e70acced25273705826df3219d0161ab1219ecd1fcb3240a3097
logs/baseline_20260729_200743_034907.jsonl,legacy:baseline_20260729_200743_034907,9,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":2,""1"":6,""2"":1}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,2,2,92818cad54a82d5217bca61f54b32b21f54a61222c61f60936505111b6bed8f5
logs/baseline_20260729_200743_034907.jsonl,legacy:baseline_20260729_200743_034907,9,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":2,""1"":6,""2"":1}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,3,3,9258d686be96faa6e52d200fc2f6e34176eb4daa4984a240053a45e9cf6bfbc6
logs/baseline_20260729_200743_034907.jsonl,legacy:baseline_20260729_200743_034907,9,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":2,""1"":6,""2"":1}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,4,4,91992a08a68c4ef29e484bff0722ca9f885a737004321946be78870d66e773a3
logs/baseline_20260729_200743_034907.jsonl,legacy:baseline_20260729_200743_034907,9,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":2,""1"":6,""2"":1}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,5,5,39a48fac4eafbe8135fd8bf771614e941037895c313ce24faa3d1010ad1ace9e
logs/baseline_20260729_200743_034907.jsonl,legacy:baseline_20260729_200743_034907,9,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":2,""1"":6,""2"":1}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,6,6,62bb392ecf1c3d79395e8ead27972ead31ddccd4b7119ff49d324b657423bf4c
logs/baseline_20260729_200743_034907.jsonl,legacy:baseline_20260729_200743_034907,9,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":2,""1"":6,""2"":1}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,7,7,6d7622851becd75336686aa342ae50fa9c9d4e0002333158ce0087f30e7fd61f
logs/baseline_20260729_200743_034907.jsonl,legacy:baseline_20260729_200743_034907,9,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":2,""1"":6,""2"":1}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,8,8,938f4b9483d32c0ddfca6584df0d7253fd1cb68174db3d0e890165a2e68d016c
logs/baseline_20260729_200743_034907.jsonl,legacy:baseline_20260729_200743_034907,9,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":2,""1"":6,""2"":1}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,9,9,8626fb2f6070d618e81dffe637c97cc4af0c3371c523b800eeda8193feb3d34c
logs/baseline_20260729_200826_078249.jsonl,legacy:baseline_20260729_200826_078249,11,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":4,""1"":2,""2"":5}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,1,1,b25a55ded9380f6b2a97a4fbf2782f82fac2956ef01fd29c0d1165ec831256cd
logs/baseline_20260729_200826_078249.jsonl,legacy:baseline_20260729_200826_078249,11,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":4,""1"":2,""2"":5}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,2,2,70bef57996e3a4680ba920474b5825384d1c53562f6a19acab0ecafc6a5e517d
logs/baseline_20260729_200826_078249.jsonl,legacy:baseline_20260729_200826_078249,11,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":4,""1"":2,""2"":5}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,3,3,522a707d91d164f7edf6637963d488c0841e67e93193ae3a344c1dd1bee4ce5d
logs/baseline_20260729_200826_078249.jsonl,legacy:baseline_20260729_200826_078249,11,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":4,""1"":2,""2"":5}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,4,4,769bdc290a7117a44e34333959da1b573128a67c2a72a13f59c34dd3372f910d
logs/baseline_20260729_200826_078249.jsonl,legacy:baseline_20260729_200826_078249,11,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":4,""1"":2,""2"":5}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,5,5,56a6fa6ce6adc9ed648c827b9a2ff5123f31658ddaf94337f07c2f861d85c447
logs/baseline_20260729_200826_078249.jsonl,legacy:baseline_20260729_200826_078249,11,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":4,""1"":2,""2"":5}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,6,6,6c1bd755b7deb58fd40be002c1556108883b3295aa4cd9ed963db96bb18d99af
logs/baseline_20260729_200826_078249.jsonl,legacy:baseline_20260729_200826_078249,11,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":4,""1"":2,""2"":5}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,7,7,7384cb45db3b44ed661bdb881cb8a1d4139c3a94582e09ae6c08da107dc45499
logs/baseline_20260729_200826_078249.jsonl,legacy:baseline_20260729_200826_078249,11,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":4,""1"":2,""2"":5}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,8,8,d3fea96990ed1f682e1ff2577acdf5681a22a1f96b5a12a7afa53c858f327406
logs/baseline_20260729_200826_078249.jsonl,legacy:baseline_20260729_200826_078249,11,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":4,""1"":2,""2"":5}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,9,9,eaac350d5695934f75aa3645b352a8b27158cd47881963228d144fb636fbbb4e
logs/baseline_20260729_200826_078249.jsonl,legacy:baseline_20260729_200826_078249,11,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":4,""1"":2,""2"":5}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid,10,10,ce6955003d1b7f01005c5d33315d0cbff2ff1767ae2bf15a05aafe769bf32ea9
