source_file,episode_id,row_count,schema_valid,observation_dim_valid,action_valid,timestamp_valid,terminal_continuity_valid,next_observation_valid,policy_source,environment_source,action_distribution,duplicate_ratio,nan_inf_count,observation_jump_count,usable_for_bc,usable_for_replay,usable_for_dynamics,needs_relabel,rejected,reject_reason,demo_quality,teacher_confidence,verified,classification
logs/baseline_20260729_200743_034907.jsonl,legacy:baseline_20260729_200743_034907,9,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":2,""1"":6,""2"":1}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid
logs/baseline_20260729_200826_078249.jsonl,legacy:baseline_20260729_200826_078249,11,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":4,""1"":2,""2"":5}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid
logs/baseline_20260729_200844_612173.jsonl,legacy:baseline_20260729_200844_612173,10,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":0,""1"":5,""2"":5}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid
logs/baseline_20260729_201613_322663.jsonl,legacy:baseline_20260729_201613_322663,11,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":8,""1"":2,""2"":1}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid
logs/baseline_20260729_201633_619889.jsonl,legacy:baseline_20260729_201633_619889,12,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":6,""1"":5,""2"":1}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid
logs/baseline_20260729_201707_142641.jsonl,legacy:baseline_20260729_201707_142641,8,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":4,""1"":3,""2"":1}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid
logs/baseline_20260729_202651_970916.jsonl,legacy:baseline_20260729_202651_970916,8,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":5,""1"":2,""2"":1}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid
logs/baseline_20260729_202716_893683.jsonl,legacy:baseline_20260729_202716_893683,10,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":2,""1"":2,""2"":6}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid
logs/baseline_20260729_202733_802722.jsonl,legacy:baseline_20260729_202733_802722,8,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":3,""1"":4,""2"":1}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid
logs/baseline_20260729_202824_682732.jsonl,legacy:baseline_20260729_202824_682732,7,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":6,""1"":0,""2"":1}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid
logs/baseline_20260729_202906_135127.jsonl,legacy:baseline_20260729_202906_135127,4,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":1,""1"":3,""2"":0}",0.0,0,0,false,false,false,false,true,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,invalid
logs/baseline_20260729_213126_807202.jsonl,legacy:baseline_20260729_213126_807202,57,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":10,""1"":27,""2"":20}",0.0,0,0,false,false,false,true,false,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,needs_relabel
logs/baseline_20260729_213351_440376.jsonl,legacy:baseline_20260729_213351_440376,77,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":44,""1"":21,""2"":12}",0.0,0,0,false,false,false,true,false,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,needs_relabel
logs/baseline_20260729_213551_362859.jsonl,legacy:baseline_20260729_213551_362859,83,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":46,""1"":17,""2"":20}",0.0,0,0,false,false,false,true,false,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,needs_relabel
logs/baseline_20260729_213814_606940.jsonl,legacy:baseline_20260729_213814_606940,33,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":18,""1"":6,""2"":9}",0.0,0,0,false,false,false,true,false,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,needs_relabel
logs/baseline_20260729_213939_978735.jsonl,legacy:baseline_20260729_213939_978735,58,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":39,""1"":11,""2"":8}",0.0,0,0,false,false,false,true,false,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,needs_relabel
logs/baseline_20260729_214120_728943.jsonl,legacy:baseline_20260729_214120_728943,134,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":85,""1"":24,""2"":25}",0.0,0,0,false,false,false,true,false,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,needs_relabel
logs/baseline_20260729_214355_367375.jsonl,legacy:baseline_20260729_214355_367375,12,false,false,true,false,true,false,baseline,real_game_legacy,"{""0"":5,""1"":0,""2"":7}",0.0,0,0,false,false,false,true,false,missing_action_timestamps;missing_next_observation;missing_or_invalid_schema;observation_dimension_invalid,not_expert,0.0,false,needs_relabel
